Ticker,Preço
AALR3,4.91
ABCB4,21.33
ABEV3,13.56
AERI3,4.02
AFLT3,7.17
AGRO3,20.0
AGXY3,6.04
AHEB3,35.8
AHEB5,58.0
ALLD3,6.88
ALOS3,21.53
ALPA3,8.61
ALPA4,9.19
ALPK3,3.42
ALUP11,30.1
ALUP3,11.0
ALUP4,9.63
AMAR11,N/D
AMAR3,1.39
AMBP3,168.0
AMER3,6.65
AMOB3,10.3
ANIM3,4.1
ARML3,3.86
ASAI3,10.81
ATED3,1.87
AURE3,9.89
AVLL3,1.78
AZEV11,N/D
AZEV3,0.43
AZEV4,0.6
AZTE3,0.54
AZUL4,0.94
AZZA3,38.63
B3SA3,13.4
BALM3,19.9
BALM4,15.84
BAUH4,81.86
BAZA3,76.1
BBAS3,21.09
BBDC3,14.19
BBDC4,16.49
BBSE3,35.51
BDLL3,9.0
BDLL4,7.7
BEEF3,4.81
BEES3,8.4
BEES4,8.5
BGIP3,32.16
BGIP4,27.0
BHIA3,3.19
BIED3,4.24
BIOM3,6.97
BLAU3,13.57
BMEB3,33.65
BMEB4,40.5
BMGB4,3.59
BMIN3,20.0
BMIN4,16.47
BMKS3,421.5
BMOB3,19.5
BNBR3,90.0
BOBR4,1.56
BPAC11,41.55
BPAC3,22.82
BPAC5,9.18
BPAN4,8.12
BRAP3,14.35
BRAP4,15.14
BRAV3,19.85
BRBI11,15.35
BRFS3,21.76
BRKM3,10.12
BRKM5,9.68
BRSR3,11.9
BRSR5,14.43
BRSR6,11.63
BRST3,2.9
BSLI3,7.81
BSLI4,9.2
CAMB3,9.58
CAML3,4.98
CASH3,6.91
CBAV3,4.23
CBEE3,9.25
CCTY3,21.99
CEAB3,17.02
CEBR3,18.62
CEBR5,19.3
CEBR6,20.66
CEDO3,29.0
CEDO4,17.5
CEEB3,37.52
CEED3,8.9
CGAS3,120.0
CGAS5,125.21
CGRA3,28.99
CGRA4,28.82
CLSC3,90.22
CLSC4,101.95
CMIG3,15.55
CMIG4,10.73
CMIN3,4.92
COCE3,27.96
COCE5,26.1
COGN3,2.8
CPFE3,40.3
CPLE3,11.63
CPLE5,13.85
CPLE6,12.55
CRPG3,19.27
CRPG5,18.62
CRPG6,19.61
CSAN3,6.94
CSED3,5.18
CSMG3,27.68
CSNA3,7.74
CSUD3,18.39
CTKA4,37.0
CTSA3,2.21
CTSA4,2.28
CURY3,28.6
CVCB3,2.29
CXSE3,14.2
CYRE3,25.38
DASA3,1.37
DESK3,9.57
DEXP3,9.1
DEXP4,8.9
DIRR3,41.61
DMVF3,4.85
DOHL4,3.95
DOTZ3,7.4
DTCY3,2.9
DXCO3,5.64
EALT3,15.2
EALT4,14.0
ECOR3,7.4
EGIE3,41.4
EKTR3,35.01
EKTR4,47.6
ELET3,40.14
ELET5,82.5
ELET6,44.42
ELMD3,31.0
EMAE4,31.39
EMBR3,73.04
ENEV3,13.83
ENGI11,46.29
ENGI3,12.24
ENGI4,8.49
ENJU3,1.15
ENMT3,61.98
EPAR3,5.0
EQMA3B,26.32
EQPA3,5.75
EQPA7,8.05
EQTL3,35.6
ESPA3,1.03
ESTR4,3.11
ETER3,3.97
EUCA3,20.9
EUCA4,18.53
EVEN3,7.24
EZTC3,13.15
FESA3,11.02
FESA4,6.79
FHER3,3.92
FICT3,3.56
FIEI3,11.97
FIQE3,3.78
FLRY3,13.26
FRAS3,27.01
FRIO3,248.0
GEPA3,34.0
GEPA4,35.5
GFSA3,22.6
GGBR3,14.32
GGBR4,16.09
GGPS3,14.9
GMAT3,7.73
GOAU3,8.92
GOAU4,8.95
GOLL4,0.79
GRND3,5.33
GSHP3,4.9
GUAR3,8.09
HAGA3,1.93
HAGA4,1.14
HAPV3,36.75
HBOR3,2.58
HBRE3,3.35
HBSA3,3.7
HOOT4,3.72
HYPE3,27.78
IFCM3,0.05
IGTI11,21.94
IGTI3,2.66
INEP3,2.2
INEP4,1.74
INTB3,15.87
IRBR3,45.5
ISAE3,30.02
ISAE4,23.25
ITSA3,10.64
ITSA4,10.66
ITUB3,32.27
ITUB4,36.56
JALL3,3.99
JFEN3,1.88
JHSF3,5.24
JOPA3,20.11
JSLG3,5.94
KEPL3,8.0
KLBN11,17.66
KLBN3,3.63
KLBN4,3.5
LAND3,9.76
LAVV3,11.99
LEVE3,29.44
LIGT3,7.27
LJQQ3,2.42
LOGG3,20.48
LOGN3,25.57
LPSB3,1.55
LREN3,19.01
LUPA3,1.2
LUXM4,5.2
LVTC3,3.6
LWSA3,4.08
MAPT4,4.21
MATD3,4.58
MDIA3,22.92
MDNE3,21.17
MEAL3,1.15
MELK3,3.34
MGEL4,4.3
MGLU3,8.91
MILS3,10.32
MLAS3,1.06
MNDL3,19.89
MNPR3,22.99
MOAR3,145.0
MOTV3,13.43
MOVI3,8.06
MRFG3,24.36
MRSA3B,26.3
MRVE3,5.83
MTRE3,3.84
MTSA3,76.0
MTSA4,43.5
MULT3,26.1
MWET3,13.0
MWET4,12.59
MYPK3,12.75
NEOE3,24.79
NEXP3,3.74
NGRD3,25.95
NORD3,6.11
NTCO3,10.29
NUTR3,3.47
ODPV3,11.61
OFSA3,25.43
OIBR3,0.64
OIBR4,8.62
ONCO3,4.5
OPCT3,6.42
ORVR3,52.21
OSXB3,2.63
PATI3,39.9
PATI4,35.08
PCAR3,3.04
PDGR3,0.26
PDTC3,1.15
PEAB3,40.9
PETR3,34.9
PETR4,32.0
PETZ3,4.05
PFRM3,8.68
PGMN3,3.38
PINE11,N/D
PINE3,5.87
PINE4,5.9
PLAS3,5.5
PLPL3,14.67
PMAM3,1.83
PNVL3,9.08
POMO3,6.33
POMO4,7.65
PORT3,17.49
POSI3,4.27
PPLA11,1.0
PRIO3,43.25
PRNR3,14.86
PSSA3,53.42
PSVM11,5.7
PTBL3,4.56
PTNT3,9.21
PTNT4,4.82
QUAL3,1.77
RADL3,14.51
RAIL3,17.48
RAIZ4,1.65
RANI3,7.28
RAPT3,8.15
RAPT4,8.69
RCSL3,2.39
RCSL4,1.03
RDNI3,2.53
RDOR3,34.7
REAG3,3.74
RECV3,15.42
REDE3,6.68
RENT3,42.41
RNEW11,2.9
RNEW3,0.94
RNEW4,0.97
ROMI3,8.88
RPAD3,4.2
RPAD5,7.15
RPAD6,4.23
RPMG3,2.9
RSID3,2.03
RSUL4,67.35
SANB11,29.12
SANB3,13.87
SANB4,15.17
SAPR11,36.63
SAPR3,7.26
SAPR4,7.35
SBFG3,11.47
SBSP3,114.03
SCAR3,16.96
SEER3,9.9
SEQL3,1.08
SHOW3,6.68
SHUL4,5.16
SIMH3,5.34
SLCE3,18.5
SMFT3,23.83
SMTO3,19.04
SNSY3,11.4
SNSY5,4.4
SOJA3,11.39
SOND5,44.0
SOND6,37.85
SRNA3,11.63
STBP3,13.7
SUZB3,51.75
SYNE3,6.09
TAEE11,34.26
TAEE3,11.36
TAEE4,11.4
TASA3,7.51
TASA4,7.0
TCSA3,1.15
TECN3,6.7
TELB3,11.98
TELB4,8.52
TEND3,23.44
TFCO4,14.29
TGMA3,34.4
TIMS3,21.27
TKNO4,82.0
TOTS3,41.73
TPIS3,3.98
TRAD3,7.15
TRIS3,7.71
TTEN3,14.41
TUPY3,18.3
UCAS3,1.45
UGPA3,16.96
UNIP3,53.7
UNIP5,58.0
UNIP6,58.12
USIM3,4.36
USIM5,4.35
VALE3,50.55
VAMO3,4.29
VBBR3,21.53
VITT3,4.4
VIVA3,25.09
VIVR3,0.87
VIVT3,30.45
VLID3,25.57
VSTE3,5.85
VTRU3,9.06
VULC3,19.86
VVEO3,1.18
WEGE3,41.6
WEST3,4.25
WHRL3,4.45
WHRL4,4.82
WIZC3,7.85
WLMM4,25.74
YDUQ3,16.26
ZAMP3,3.47
